Date,Hour,Fuel,Output
2017-01-03,9,WIND,534
2017-01-03,9,SOLAR,1
2017-01-03,9,BIOFUEL,27
2017-01-03,10,NUCLEAR,11595
2017-01-03,10,GAS,817
2017-01-03,10,HYDRO,4150
2017-01-03,10,WIND,810
2017-01-03,10,SOLAR,4
2017-01-03,10,BIOFUEL,27
2017-01-03,11,NUCLEAR,11600
2017-01-03,11,GAS,771
2017-01-03,11,HYDRO,4251
2017-01-03,11,WIND,935
2017-01-03,11,SOLAR,9
2017-01-03,11,BIOFUEL,35
2017-01-03,12,NUCLEAR,11605
2017-01-03,12,GAS,701
2017-01-03,12,HYDRO,5175
2017-01-03,12,WIND,490
2017-01-03,12,SOLAR,14
2017-01-03,12,BIOFUEL,37
2017-01-03,13,NUCLEAR,11606
2017-01-03,13,GAS,915
2017-01-03,13,HYDRO,5079
2017-01-03,13,WIND,181
2017-01-03,13,SOLAR,14
2017-01-03,13,BIOFUEL,42
2017-01-03,14,NUCLEAR,11610
2017-01-03,14,GAS,832
2017-01-03,14,HYDRO,4623
2017-01-03,14,WIND,145
2017-01-03,14,SOLAR,11
2017-01-03,14,BIOFUEL,40
2017-01-03,15,NUCLEAR,11612
2017-01-03,15,GAS,601
2017-01-03,15,HYDRO,4814
2017-01-03,15,WIND,84
2017-01-03,15,SOLAR,8
2017-01-03,15,BIOFUEL,52
2017-01-03,16,NUCLEAR,11611
2017-01-03,16,GAS,722
2017-01-03,16,HYDRO,5009
2017-01-03,16,WIND,110
2017-01-03,16,SOLAR,2
2017-01-03,16,BIOFUEL,59
2017-01-03,17,NUCLEAR,11613
2017-01-03,17,GAS,890
2017-01-03,17,HYDRO,5243
2017-01-03,17,WIND,167
2017-01-03,17,SOLAR,0
2017-01-03,17,BIOFUEL,60
2017-01-03,18,NUCLEAR,11610
2017-01-03,18,GAS,1046
2017-01-03,18,HYDRO,5678
2017-01-03,18,WIND,296
2017-01-03,18,SOLAR,0
2017-01-03,18,BIOFUEL,56
2017-01-03,19,NUCLEAR,11610
2017-01-03,19,GAS,1120
2017-01-03,19,HYDRO,5628
2017-01-03,19,WIND,302
2017-01-03,19,SOLAR,0
2017-01-03,19,BIOFUEL,48
2017-01-03,20,NUCLEAR,11612
2017-01-03,20,GAS,1125
2017-01-03,20,HYDRO,5516
2017-01-03,20,WIND,299
2017-01-03,20,SOLAR,0
2017-01-03,20,BIOFUEL,53
2017-01-03,21,NUCLEAR,11602
2017-01-03,21,GAS,1277
2017-01-03,21,HYDRO,4697
2017-01-03,21,WIND,438
2017-01-03,21,SOLAR,0
2017-01-03,21,BIOFUEL,58
2017-01-03,22,NUCLEAR,11601
2017-01-03,22,GAS,796
2017-01-03,22,HYDRO,4447
2017-01-03,22,WIND,656
2017-01-03,22,SOLAR,0
2017-01-03,22,BIOFUEL,53
2017-01-03,23,NUCLEAR,11585
2017-01-03,23,GAS,511
2017-01-03,23,HYDRO,3661
2017-01-03,23,WIND,929
2017-01-03,23,SOLAR,0
2017-01-03,23,BIOFUEL,48
2017-01-03,24,NUCLEAR,11597
2017-01-03,24,GAS,490
2017-01-03,24,HYDRO,2700
2017-01-03,24,WIND,1392
2017-01-03,24,SOLAR,0
2017-01-03,24,BIOFUEL,45
2017-01-04,1,NUCLEAR,11597
2017-01-04,1,GAS,501
2017-01-04,1,HYDRO,2525
2017-01-04,1,WIND,1336
2017-01-04,1,SOLAR,0
2017-01-04,1,BIOFUEL,44
2017-01-04,2,NUCLEAR,11604
2017-01-04,2,GAS,502
2017-01-04,2,HYDRO,2524
2017-01-04,2,WIND,1313
2017-01-04,2,SOLAR,0
2017-01-04,2,BIOFUEL,43
2017-01-04,3,NUCLEAR,11604
2017-01-04,3,GAS,502
2017-01-04,3,HYDRO,2510
2017-01-04,3,WIND,1116
2017-01-04,3,SOLAR,0
2017-01-04,3,BIOFUEL,44
2017-01-04,4,NUCLEAR,11600
2017-01-04,4,GAS,503
2017-01-04,4,HYDRO,2512
2017-01-04,4,WIND,997
2017-01-04,4,SOLAR,0
2017-01-04,4,BIOFUEL,41
2017-01-04,5,NUCLEAR,11603
2017-01-04,5,GAS,501
2017-01-04,5,HYDRO,2505
2017-01-04,5,WIND,1087
2017-01-04,5,SOLAR,0
2017-01-04,5,BIOFUEL,40
2017-01-04,6,NUCLEAR,11601
2017-01-04,6,GAS,502
2017-01-04,6,HYDRO,2591
2017-01-04,6,WIND,1588
2017-01-04,6,SOLAR,0
2017-01-04,6,BIOFUEL,34
2017-01-04,7,NUCLEAR,11601
2017-01-04,7,GAS,497
2017-01-04,7,HYDRO,2659
2017-01-04,7,WIND,2550
2017-01-04,7,SOLAR,0
2017-01-04,7,BIOFUEL,34
2017-01-04,8,NUCLEAR,11598
2017-01-04,8,GAS,501
2017-01-04,8,HYDRO,3314
2017-01-04,8,WIND,2591
2017-01-04,8,SOLAR,0
2017-01-04,8,BIOFUEL,40
2017-01-04,9,NUCLEAR,11598
2017-01-04,9,GAS,502
2017-01-04,9,HYDRO,3468
2017-01-04,9,WIND,2766
2017-01-04,9,SOLAR,4
2017-01-04,9,BIOFUEL,36
2017-01-04,10,NUCLEAR,11594
2017-01-04,10,GAS,503
2017-01-04,10,HYDRO,3552
2017-01-04,10,WIND,2905
2017-01-04,10,SOLAR,40
2017-01-04,10,BIOFUEL,34
2017-01-04,11,NUCLEAR,11550
2017-01-04,11,GAS,501
2017-01-04,11,HYDRO,3409
2017-01-04,11,WIND,3288
2017-01-04,11,SOLAR,50
2017-01-04,11,BIOFUEL,34
